V,B-V,V-I,Log Age,Log Mass,Classification
missing_value,missing_value,missing_value,missing_value,missing_value,Unknown
missing_value,missing_value,missing_value,missing_value,missing_value,Stellar
19.86,missing_value,1.13,missing_value,missing_value,Cluster
missing_value,missing_value,missing_value,missing_value,missing_value,Unknown
missing_value,missing_value,missing_value,missing_value,missing_value,Galaxy
19.92,missing_value,missing_value,10.28,missing_value,Cluster
missing_value,missing_value,missing_value,missing_value,missing_value,Unknown
missing_value,missing_value,missing_value,missing_value,missing_value,Unknown
17.61,0.32,missing_value,8.56,4.63,Cluster
18.75,missing_value,missing_value,10.28,5.58,Cluster
missing_value,missing_value,missing_value,missing_value,missing_value,Unknown
missing_value,missing_value,missing_value,missing_value,missing_value,Stellar
missing_value,missing_value,missing_value,missing_value,missing_value,Stellar
missing_value,missing_value,missing_value,missing_value,missing_value,Stellar
missing_value,missing_value,missing_value,missing_value,missing_value,Cluster
18.76,0.46,missing_value,8.01,3.72,Cluster
missing_value,missing_value,missing_value,missing_value,missing_value,Unknown
missing_value,missing_value,missing_value,missing_value,missing_value,Unknown
missing_value,missing_value,missing_value,missing_value,missing_value,Stellar
missing_value,missing_value,missing_value,missing_value,missing_value,Unknown
missing_value,missing_value,missing_value,missing_value,missing_value,Unknown
missing_value,missing_value,missing_value,missing_value,missing_value,Unknown
missing_value,missing_value,missing_value,missing_value,missing_value,Cluster
17.63,0.09,0.63,7.22,3.60,Stellar
missing_value,missing_value,missing_value,missing_value,missing_value,Stellar
18.06,-0.04,missing_value,10.04,5.88,Cluster
missing_value,missing_value,missing_value,missing_value,missing_value,Stellar
missing_value,missing_value,missing_value,missing_value,missing_value,Cluster
missing_value,missing_value,missing_value,missing_value,missing_value,Cluster
missing_value,missing_value,missing_value,missing_value,missing_value,Unknown
missing_value,missing_value,missing_value,missing_value,missing_value,Unknown
missing_value,missing_value,missing_value,missing_value,missing_value,Cluster
missing_value,missing_value,missing_value,missing_value,missing_value,Unknown
20.40,-0.14,missing_value,missing_value,missing_value,Cluster
18.50,-0.34,missing_value,6.42,missing_value,Cluster
missing_value,missing_value,missing_value,missing_value,missing_value,Unknown
missing_value,missing_value,missing_value,missing_value,missing_value,Unknown
19.78,2.53,2.03,10.30,5.09,Unknown
missing_value,missing_value,missing_value,missing_value,missing_value,Stellar
19.11,0.85,1.01,9.15,4.42,Cluster
18.68,0.19,missing_value,7.96,3.71,Cluster
18.54,missing_value,0.47,6.58,2.97,Cluster
18.75,0.27,missing_value,10.22,5.52,Galaxy
19.04,missing_value,1.15,10.06,5.32,Cluster
19.56,0.44,missing_value,8.96,4.15,Cluster
18.27,missing_value,1.10,missing_value,missing_value,Cluster
18.20,missing_value,0.00,6.48,missing_value,Cluster
18.31,0.42,missing_value,6.96,3.01,Unknown
18.35,1.09,missing_value,10.27,5.68,Cluster
missing_value,missing_value,missing_value,missing_value,missing_value,Galaxy
missing_value,missing_value,missing_value,missing_value,missing_value,Unknown
19.05,missing_value,0.62,9.11,4.33,Cluster
18.28,0.19,0.61,6.96,3.02,Cluster
19.33,missing_value,0.62,8.01,3.50,Cluster
missing_value,missing_value,missing_value,missing_value,missing_value,Unknown
missing_value,missing_value,missing_value,missing_value,missing_value,Unknown
missing_value,missing_value,missing_value,missing_value,missing_value,Galaxy
missing_value,missing_value,missing_value,missing_value,missing_value,Unknown
17.17,0.24,0.79,8.41,4.66,Unknown
missing_value,missing_value,missing_value,missing_value,missing_value,Stellar
missing_value,missing_value,missing_value,missing_value,missing_value,Unknown
missing_value,missing_value,missing_value,missing_value,missing_value,Stellar
missing_value,missing_value,missing_value,missing_value,missing_value,Unknown
17.07,1.15,missing_value,10.00,5.96,Galaxy
19.19,0.66,0.88,missing_value,missing_value,Cluster
18.65,missing_value,missing_value,9.11,4.73,Cluster
18.29,missing_value,0.38,6.94,3.04,Cluster
18.58,0.10,0.57,8.36,4.08,Cluster
missing_value,missing_value,missing_value,missing_value,missing_value,Stellar
17.38,0.31,0.38,7.86,4.29,Cluster
missing_value,missing_value,missing_value,missing_value,missing_value,Unknown
19.36,0.61,0.60,missing_value,missing_value,Unknown
16.66,1.18,missing_value,9.78,6.02,Galaxy
19.07,missing_value,0.81,6.92,2.72,Cluster
19.90,0.20,missing_value,missing_value,missing_value,Cluster
19.87,0.01,missing_value,7.28,2.84,Cluster
18.43,0.76,1.43,10.24,5.64,Cluster
18.82,0.40,missing_value,missing_value,missing_value,Cluster
18.67,missing_value,missing_value,missing_value,missing_value,Unknown
17.87,0.29,0.79,8.51,4.44,Unknown
18.61,missing_value,0.46,7.70,3.57,Cluster
missing_value,missing_value,missing_value,missing_value,missing_value,Unknown
19.11,missing_value,0.55,6.60,2.62,Cluster
18.76,0.36,missing_value,missing_value,missing_value,Unknown
17.45,0.27,missing_value,7.08,3.62,Cluster
18.75,0.21,missing_value,6.94,2.98,Cluster
18.28,missing_value,1.01,10.28,5.69,Cluster
18.86,missing_value,0.78,6.86,2.85,Cluster
18.45,0.20,0.43,6.72,2.99,Unknown
19.65,missing_value,0.44,6.84,2.91,Cluster
17.78,0.84,missing_value,10.03,5.70,Cluster
19.14,0.51,missing_value,missing_value,missing_value,Unknown
17.35,0.69,0.79,8.76,4.83,Cluster
17.38,0.52,0.76,8.01,4.35,Cluster
17.17,0.76,1.03,missing_value,missing_value,Cluster
19.12,0.81,0.73,missing_value,missing_value,Unknown
missing_value,missing_value,missing_value,missing_value,missing_value,Unknown
18.16,0.21,0.65,8.01,3.99,Unknown
18.64,0.68,missing_value,missing_value,missing_value,Stellar
20.01,missing_value,0.60,missing_value,missing_value,Cluster
18.01,1.13,missing_value,10.05,5.67,Cluster
18.18,0.76,0.89,9.28,4.94,Cluster
18.52,0.65,0.77,8.96,4.52,Cluster
18.22,missing_value,0.56,missing_value,missing_value,Cluster
18.21,0.32,1.28,6.96,3.02,Cluster
18.67,0.21,missing_value,7.81,3.57,Cluster
18.12,0.20,missing_value,7.74,3.78,Unknown
18.72,0.78,missing_value,missing_value,missing_value,Chip
19.27,missing_value,0.43,7.81,3.44,Cluster
17.91,0.58,0.92,9.26,5.03,Cluster
19.74,0.61,missing_value,missing_value,missing_value,Chip
18.80,0.57,0.84,missing_value,missing_value,Unknown
17.34,0.17,missing_value,6.98,3.54,Cluster
18.90,-0.04,missing_value,6.52,2.83,Cluster
19.57,0.71,missing_value,missing_value,missing_value,Cluster
18.52,missing_value,0.89,9.95,5.25,Cluster
18.30,missing_value,missing_value,9.54,5.09,Cluster
18.84,0.69,missing_value,8.01,3.70,Cluster
17.71,missing_value,missing_value,6.84,3.03,Cluster
19.19,0.40,missing_value,missing_value,missing_value,Cluster
18.65,0.29,0.90,9.21,4.69,Cluster
18.38,0.57,0.82,8.86,4.51,Cluster
18.69,missing_value,missing_value,missing_value,missing_value,Cluster
18.27,0.57,missing_value,8.96,4.62,Cluster
missing_value,missing_value,missing_value,missing_value,missing_value,Unknown
18.64,0.24,missing_value,6.94,2.99,Cluster
19.14,missing_value,1.01,8.51,3.92,Cluster
missing_value,missing_value,missing_value,missing_value,missing_value,Unknown
20.52,0.85,missing_value,missing_value,missing_value,Unknown
18.30,1.07,1.20,9.90,5.42,Cluster
19.04,0.48,missing_value,8.01,3.66,Cluster
17.71,-0.19,missing_value,6.58,3.13,Cluster
missing_value,missing_value,missing_value,missing_value,missing_value,Stellar
18.17,missing_value,0.46,8.66,4.40,Cluster
missing_value,missing_value,missing_value,missing_value,missing_value,Stellar
missing_value,missing_value,missing_value,missing_value,missing_value,Unknown
missing_value,missing_value,missing_value,missing_value,missing_value,Unknown
18.63,missing_value,0.82,missing_value,missing_value,Cluster
18.58,0.05,0.11,8.01,3.79,Unknown
17.15,0.08,0.39,6.94,3.57,Cluster
17.71,0.14,0.94,8.36,4.46,Unknown
19.21,missing_value,1.08,missing_value,missing_value,Cluster
17.49,0.69,1.22,9.63,5.47,Unknown
17.72,0.29,0.39,7.22,3.53,Cluster
18.47,0.76,missing_value,8.96,4.53,Cluster
18.66,0.20,missing_value,8.26,3.92,Cluster
missing_value,missing_value,missing_value,missing_value,missing_value,Unknown
missing_value,missing_value,missing_value,missing_value,missing_value,Unknown
