#@string,ra,dec,float,float,float,float,float,float,string,string,float,float,float,string
Name,RA,DEC,K,TYPE,S,err_S,Dist,M(K),P1/4,Spectrum,M_BH,SoI_pc,SoI_arcsec,Done
1,01:32:31.97,30:37:37.5,6.8,-5,1.2,100,29,-25.53,1.30E+23,x,7.20E+08,44,0.31,FALSE
2,01:32:33.36,30:26:20.9,8.48,-4.5,1,0.5,20,-23.05,4.90E+19,x,8.70E+07,13,0.13,FALSE
3,01:32:34.40,30:37:42.6,8.92,-4,0.5,0.5,48,-24.49,<3.9e20,n,3.00E+08,26,0.11,FALSE
4,01:32:35.60,30:41:28.0,8.7,-3,4.1,0.5,33,-23.92,5.50E+20,x,1.80E+08,20,0.12,FALSE
5,01:32:38.87,30:47:07.1,8.92,-3,-0.3,0.5,42,-24.18,<1.3e20,x,2.30E+08,22,0.11,FALSE
6,01:32:38.97,30:39:17.9,8.51,-4,0.5,0.5,41,-24.55,<2.8e20,x,3.10E+08,27,0.14,FALSE
7,01:32:39.13,30:40:42.0,7.82,-5,10,1,27,-24.32,8.80E+20,x,2.60E+08,24,0.18,FALSE
8,01:32:41.27,30:27:51.9,8.2,-3,2.7,0.5,56,-25.52,1.00E+21,n,7.10E+08,44,0.16,FALSE
9,01:32:42.93,30:35:38.6,8.81,-3.7,0.5,0.5,63,-25.19,<6.7e20,x,5.40E+08,37,0.12,FALSE
10,01:32:44.30,30:40:12.4,7.48,-5,1.8,1000,52,-26.09,5.60E+24,x,1.20E+09,58,0.23,FALSE
11,01:32:45.31,30:30:24.3,8.84,-2,0.4,0.5,34,-23.81,<1.8e20,x,1.70E+08,19,0.11,FALSE
12,01:32:46.80,30:33:35.3,8.03,-3,1.7,0.5,62,-25.94,7.90E+20,x,1.00E+09,54,0.18,FALSE
13,01:32:51.77,30:33:05.3,8.97,-4.3,0.2,0.5,58,-24.84,<4.4e20,x,4.00E+08,31,0.11,FALSE
14,01:32:51.78,30:29:47.8,8.78,-2,1.2,0.5,49,-24.66,3.40E+20,x,3.40E+08,28,0.12,FALSE
15,01:32:51.82,30:29:36.4,8.64,-3.7,22,2,82,-25.94,1.70E+22,x,1.00E+09,54,0.14,FALSE
16,01:32:52.65,30:14:30.9,8.59,-2,0.9,0.5,32,-23.9,<2.1e20,x,1.80E+08,19,0.13,FALSE
17,01:32:52.70,30:32:00.4,8.63,-2,67,2,30,-23.73,7.00E+21,e,1.50E+08,18,0.12,FALSE
18,01:32:52.87,30:34:10.2,8.65,-2.7,0.3,0.5,60,-25.24,<5.2e20,x,5.60E+08,38,0.13,FALSE
19,01:32:53.80,30:37:52.9,8.56,-4.5,7.2,0.5,90,-26.21,7.00E+21,n,1.30E+09,62,0.14,FALSE
20,01:32:54.31,30:55:29.5,6.22,-3,-0.1,0.5,10,-23.82,<9.9e18,a,1.70E+08,19,0.39,FALSE
21,01:32:54.63,30:23:20.6,8.85,-3,0.7,0.5,65,-25.2,<8.0e20,n,5.40E+08,37,0.12,FALSE
22,01:32:54.95,30:46:25.4,7.44,-5,1.1,100,19,-24,5.10E+22,x,,20,0.22,TRUE
23,01:32:55.47,30:29:22.2,8.11,-3,9.2,0.5,71,-26.16,5.60E+21,n,1.20E+09,60,0.18,FALSE
